User,Search Pattern,Search Type,Start End,Start Time,End Time,Result Count,TheSaurus
2124064,perfect-forward-backward,search box,0,2018-01-10 13:53:44 +0900,2018-01-10 13:53:44 +0900,0,0
2124064,perfect-forward-backward,search box,1,2018-01-10 13:53:44 +0900,2018-01-10 13:53:46 +0900,21,1
2124064,perfect-forward-backward,search box,0,2018-01-10 13:53:55 +0900,2018-01-10 13:53:55 +0900,0,0
2124064,perfect-forward-backward,search box,1,2018-01-10 13:53:55 +0900,2018-01-10 13:53:55 +0900,1,0
123456,perfect-forward-backward,search box,0,2018-01-10 16:29:21 +0900,2018-01-10 16:29:21 +0900,0,0
123456,perfect-forward-backward,search box,1,2018-01-10 16:29:21 +0900,2018-01-10 16:29:24 +0900,81,1
123456,perfect-forward-backward,search box,0,2018-01-10 16:29:51 +0900,2018-01-10 16:29:51 +0900,0,0
123456,perfect-forward-backward,search box,1,2018-01-10 16:29:51 +0900,2018-01-10 16:29:51 +0900,0,0
123456,grep,search box,0,2018-01-10 16:29:54 +0900,2018-01-10 16:29:54 +0900,0,0
123456,grep,search box,1,2018-01-10 16:29:54 +0900,2018-01-10 16:29:54 +0900,0,0
1234567,perfect-forward-backward,search box,0,2018-01-10 16:40:05 +0900,2018-01-10 16:40:05 +0900,0,0
1234567,perfect-forward-backward,search box,1,2018-01-10 16:40:05 +0900,2018-01-10 16:40:15 +0900,443,1
2127797,perfect-forward-backward,search box,0,2018-01-10 17:05:31 +0900,2018-01-10 17:05:31 +0900,0,0
2127797,perfect-forward-backward,search box,1,2018-01-10 17:05:31 +0900,2018-01-10 17:05:38 +0900,279,1
mizutani,perfect-forward-backward,search box,0,2018-01-11 08:49:30 +0900,2018-01-11 08:49:30 +0900,0,0
mizutani,perfect-forward-backward,search box,1,2018-01-11 08:49:30 +0900,2018-01-11 08:49:34 +0900,21,1
mizutani,perfect-forward-backward,search box,0,2018-01-11 10:04:48 +0900,2018-01-11 10:04:48 +0900,0,0
mizutani,perfect-forward-backward,search box,1,2018-01-11 10:04:48 +0900,2018-01-11 10:04:48 +0900,0,0
mizutani,grep,search box,0,2018-01-11 10:04:51 +0900,2018-01-11 10:04:51 +0900,0,0
mizutani,grep,search box,1,2018-01-11 10:04:51 +0900,2018-01-11 10:04:51 +0900,0,0
mizutani,grep,search box,0,2018-01-11 10:05:16 +0900,2018-01-11 10:05:16 +0900,0,0
mizutani,grep,search box,1,2018-01-11 10:05:16 +0900,2018-01-11 10:05:16 +0900,0,0
mizutani,grep,search box,0,2018-01-11 10:05:32 +0900,2018-01-11 10:05:32 +0900,0,0
mizutani,grep,search box,1,2018-01-11 10:05:32 +0900,2018-01-11 10:05:32 +0900,4,1
mizutani,grep,Broader Term,0,2018-01-11 10:05:42 +0900,2018-01-11 10:05:42 +0900,0,0
mizutani,grep,Broader Term,1,2018-01-11 10:05:42 +0900,2018-01-11 10:05:43 +0900,5,1
mizutani,grep,Narrow Term,0,2018-01-11 10:05:53 +0900,2018-01-11 10:05:53 +0900,0,0
mizutani,grep,Narrow Term,1,2018-01-11 10:05:53 +0900,2018-01-11 10:05:53 +0900,1,1
mizutani,grep,Broader Term,0,2018-01-11 10:05:59 +0900,2018-01-11 10:05:59 +0900,0,0
mizutani,grep,Broader Term,1,2018-01-11 10:05:59 +0900,2018-01-11 10:05:59 +0900,5,1
mizutani,grep,Synonym,0,2018-01-11 10:06:06 +0900,2018-01-11 10:06:06 +0900,0,0
mizutani,grep,Synonym,1,2018-01-11 10:06:06 +0900,2018-01-11 10:06:07 +0900,0,1
mizutani,grep,Synonym,0,2018-01-11 10:06:08 +0900,2018-01-11 10:06:08 +0900,0,0
mizutani,grep,Synonym,1,2018-01-11 10:06:08 +0900,2018-01-11 10:06:09 +0900,15,1
mizutani,grep,Broader Term,0,2018-01-11 10:06:20 +0900,2018-01-11 10:06:20 +0900,0,0
mizutani,grep,Broader Term,1,2018-01-11 10:06:20 +0900,2018-01-11 10:06:22 +0900,98,0
mizutani,grep,Narrow Term,0,2018-01-11 10:06:32 +0900,2018-01-11 10:06:32 +0900,0,0
mizutani,grep,Narrow Term,1,2018-01-11 10:06:32 +0900,2018-01-11 10:06:32 +0900,0,0
mizutani,grep,Narrow Term,0,2018-01-11 10:06:34 +0900,2018-01-11 10:06:34 +0900,0,0
mizutani,grep,Narrow Term,1,2018-01-11 10:06:34 +0900,2018-01-11 10:06:34 +0900,3,1
mizutani,grep,Broader Term,0,2018-01-11 10:06:45 +0900,2018-01-11 10:06:45 +0900,0,0
mizutani,grep,Broader Term,1,2018-01-11 10:06:45 +0900,2018-01-11 10:06:45 +0900,0,0
